Date,Team_1,Team_2,Winner,Margin,Ground
09-11-2007,South Africa,West Indies,South Africa,8 wickets,Johannesburg
09-12-2007,Kenya,New Zealand,New Zealand,9 wickets,Durban
09-12-2007,Pakistan,Scotland,Pakistan,51 runs,Durban
09-12-2007,Australia,Zimbabwe,Zimbabwe,5 wickets,Cape Town
13-09-2007,Bangladesh,West Indies,Bangladesh,6 wickets,Johannesburg
13-09-2007,England,Zimbabwe,England,50 runs,Cape Town
13-09-2007,India,Scotland,NA,abandoned with a toss,Durban
14-09-2007,Kenya,Sri Lanka,Sri Lanka,172 runs,Johannesburg
14-09-2007,Australia,England,Australia,8 wickets,Cape Town
14-09-2007,India,Pakistan,India,tied,Durban
15-09-2007,New Zealand,Sri Lanka,Sri Lanka,7 wickets,Johannesburg
15-09-2007,South Africa,Bangladesh,South Africa,7 wickets,Cape Town
16-09-2007,India,New Zealand,New Zealand,10 runs,Johannesburg
16-09-2007,Australia,Bangladesh,Australia,9 wickets,Cape Town
16-09-2007,South Africa,England,South Africa,19 runs,Cape Town
17-09-2007,Pakistan,Sri Lanka,Pakistan,33 runs,Johannesburg
18-09-2007,England,New Zealand,New Zealand,5 runs,Durban
18-09-2007,Australia,Pakistan,Pakistan,6 wickets,Johannesburg
18-09-2007,Bangladesh,Sri Lanka,Sri Lanka,64 runs,Johannesburg
19-09-2007,South Africa,New Zealand,South Africa,6 wickets,Durban
19-09-2007,England,India,India,18 runs,Durban
20-09-2007,Australia,Sri Lanka,Australia,10 wickets,Cape Town
20-09-2007,Bangladesh,Pakistan,Pakistan,4 wickets,Cape Town
20-09-2007,South Africa,India,India,37 runs,Durban
22-09-2007,New Zealand,Pakistan,Pakistan,6 wickets,Cape Town
22-09-2007,Australia,India,India,15 runs,Durban
24-09-2007,India,Pakistan,India,5 runs,Johannesburg
